Player,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS,
Scott Sizemore,.313,6,16,3,5,2,0,0,4,0,8,0,0,0,0,0,.313,.438,.751,
Francisco Cervelli,.286,36,105,13,30,11,0,2,8,4,29,1,0,0,0,2,.342,.448,.790,
J.R. Murphy,.286,24,63,4,18,2,0,1,8,2,17,0,0,0,0,0,.308,.365,.673,
Ichiro Suzuki,.280,110,268,31,75,8,1,1,15,18,53,11,2,2,2,1,.325,.328,.653,
Jacoby Ellsbury,.275,124,480,58,132,24,2,10,55,47,83,35,4,0,5,4,.340,.396,.736,
Martin Prado,.271,20,70,8,19,6,0,3,11,2,16,1,0,0,0,1,.301,.486,.787,
Derek Jeter,.270,113,460,38,124,13,1,3,32,30,70,9,1,6,2,8,.319,.322,.641,
Brett Gardner,.269,124,464,77,125,18,7,15,52,51,110,19,4,11,5,1,.346,.435,.781,
Yangervis Solarte,.258,75,252,26,65,14,0,6,31,30,34,0,0,1,3,7,.340,.385,.725,
Zelous Wheeler,.257,18,35,3,9,0,0,2,3,0,6,0,0,1,0,0,.257,.429,.686,
Chase Headley,.242,28,99,10,24,4,0,2,10,13,27,2,2,0,0,2,.336,.343,.679,
Brian Roberts,.237,91,317,40,75,16,4,5,21,28,53,7,4,1,1,7,.300,.360,.660,
Carlos Beltran,.236,91,343,40,81,20,0,15,46,28,63,3,0,0,5,5,.294,.426,.720,
Mark Teixeira,.234,95,338,49,79,8,0,20,53,48,77,1,1,0,3,6,.337,.435,.772,
Brian McCann,.233,108,390,42,91,14,1,14,52,26,61,0,0,0,2,3,.287,.382,.669,
Brendan Ryan,.222,33,72,5,16,3,0,0,6,2,20,0,2,1,1,0,.269,.264,.533,
Alfonso Soriano,.221,67,226,22,50,15,0,6,23,6,71,1,0,0,4,3,.244,.367,.611,
Kelly Johnson,.219,77,201,21,44,9,2,6,22,23,50,2,1,0,1,1,.304,.373,.677,
Chase Whitley,.200,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.400,
Stephen Drew,.164,17,55,4,9,4,0,1,9,5,14,0,0,0,1,0,.230,.291,.521,
Zoilo Almonte,.139,13,36,2,5,0,0,1,3,0,14,1,0,0,0,1,.139,.222,.361,
Dean Anna,.136,12,22,3,3,1,0,1,3,2,6,0,0,0,1,0,.200,.318,.518,
Masahiro Tanaka,.111,3,9,0,1,0,0,0,0,0,5,0,